ImageNet_ID,ImageNet_Class,CIFAR_Superclass
n04285008,sports_car,vehicles 1
n04286575,spotlight,household electrical devices
n04296562,stage,aquatic mammals
n04310018,steam_locomotive,household electrical devices
n04311004,steel_arch_bridge,large man-made outdoor things
n04311174,steel_drum,vehicles 1
n04317175,stethoscope,household electrical devices
n04325704,stole,household furniture
n04326547,stone_wall,food containers
n04328186,stopwatch,fish
n04330267,stove,fruit and vegetables
n04332243,strainer,fruit and vegetables
n04335435,streetcar,vehicles 2
n04336792,stretcher,household electrical devices
n04344873,studio_couch,household furniture
n04346328,stupa,large man-made outdoor things
n04347754,submarine,vehicles 2
n04350905,suit,vehicles 2
n04355338,sundial,trees
n04355933,sunglass,large man-made outdoor things
n04356056,sunglasses,large man-made outdoor things
n04357314,sunscreen,household electrical devices
n04366367,suspension_bridge,large man-made outdoor things
n04367480,swab,vehicles 2
n04370456,sweatshirt,fish
n04371430,swimming_trunks,household furniture
n04371774,swing,large man-made outdoor things
n04372370,switch,household electrical devices
n04376876,syringe,food containers
n04380533,table_lamp,household electrical devices
n04389033,tank,vehicles 2
n04392985,tape_player,large man-made outdoor things
n04398044,teapot,food containers
n04399382,teddy,people
n04404412,television,household electrical devices
n04409515,tennis_ball,vehicles 1
n04417672,thatch,vehicles 2
n04418357,theater_curtain,vehicles 1
n04423845,thimble,fruit and vegetables
n04428191,thresher,fish
n04429376,throne,household furniture
n04435653,tile_roof,aquatic mammals
n04442312,toaster,trees
n04443257,tobacco_shop,household electrical devices
n04447861,toilet_seat,aquatic mammals
n04456115,torch,aquatic mammals
n04458633,totem_pole,food containers
n04461696,tow_truck,people
n04462240,toyshop,large man-made outdoor things
n04465501,tractor,vehicles 2
n04467665,trailer_truck,people
n04476259,tray,household furniture
n04479046,trench_coat,aquatic mammals
n04482393,tricycle,household furniture
n04483307,trimaran,fish
n04485082,tripod,household furniture
n04486054,triumphal_arch,household furniture
n04487081,trolleybus,vehicles 1
n04487394,trombone,fish
n04493381,tub,fruit and vegetables
n04501370,turnstile,household electrical devices
n04505470,typewriter_keyboard,household electrical devices
n04507155,umbrella,vehicles 2
n04509417,unicycle,vehicles 1
n04515003,upright,household furniture
n04517823,vacuum,household electrical devices
n04522168,vase,flowers
n04523525,vault,food containers
n04525038,velvet,household furniture
n04525305,vending_machine,household electrical devices
n04532106,vestment,large omnivores and herbivores
n04532670,viaduct,large man-made outdoor things
n04536866,violin,fish
n04540053,volleyball,vehicles 1
n04542943,waffle_iron,fruit and vegetables
n04548280,wall_clock,household electrical devices
n04548362,wallet,large man-made outdoor things
n04550184,wardrobe,household furniture
n04552348,warplane,vehicles 2
n04553703,washbasin,trees
n04554684,washer,household electrical devices
n04557648,water_bottle,food containers
n04560804,water_jug,food containers
n04562935,water_tower,vehicles 2
n04579145,whiskey_jug,food containers
n04579432,whistle,household furniture
n04584207,wig,people
n04589890,window_screen,food containers
n04590129,window_shade,food containers
n04591157,Windsor_tie,vehicles 1
n04591713,wine_bottle,food containers
n04592741,wing,people
n04596742,wok,fruit and vegetables
n04597913,wooden_spoon,fruit and vegetables
n04599235,wool,vehicles 2
n04604644,worm_fence,large omnivores and herbivores
n04606251,wreck,vehicles 2
n04612504,yawl,large natural outdoor scenes
n04613696,yurt,large man-made outdoor things
n06359193,web_site,large natural outdoor scenes
n06596364,comic_book,vehicles 1
n06785654,crossword_puzzle,household electrical devices
n06794110,street_sign,vehicles 1
n06874185,traffic_light,food containers
n07248320,book_jacket,household furniture
n07565083,menu,flowers
n07579787,plate,food containers
n07583066,guacamole,fruit and vegetables
n07584110,consomme,fruit and vegetables
n07590611,hot_pot,aquatic mammals
n07613480,trifle,fruit and vegetables
n07614500,ice_cream,fruit and vegetables
n07615774,ice_lolly,aquatic mammals
n07684084,French_loaf,fruit and vegetables
n07693725,bagel,fruit and vegetables
n07695742,pretzel,fruit and vegetables
n07697313,cheeseburger,fruit and vegetables
n07697537,hotdog,fruit and vegetables
n07711569,mashed_potato,fruit and vegetables
n07714571,head_cabbage,fruit and vegetables
n07714990,broccoli,fruit and vegetables
n07715103,cauliflower,fruit and vegetables
n07716358,zucchini,fruit and vegetables
n07716906,spaghetti_squash,fruit and vegetables
n07717410,acorn_squash,fruit and vegetables
n07717556,butternut_squash,fruit and vegetables
n07718472,cucumber,fruit and vegetables
n07718747,artichoke,fruit and vegetables
n07720875,bell_pepper,fruit and vegetables
n07730033,cardoon,fruit and vegetables
n07734744,mushroom,fruit and vegetables
n07742313,Granny_Smith,fruit and vegetables
n07745940,strawberry,trees
n07747607,orange,fruit and vegetables
n07749582,lemon,fruit and vegetables
n07753113,fig,fruit and vegetables
n07753275,pineapple,food containers
n07753592,banana,fruit and vegetables
n07754684,jackfruit,fruit and vegetables
n07760859,custard_apple,fruit and vegetables
n07768694,pomegranate,trees
n07802026,hay,vehicles 2
n07831146,carbonara,fruit and vegetables
n07836838,chocolate_sauce,food containers
n07860988,dough,fruit and vegetables
n07871810,meat_loaf,fruit and vegetables
n07873807,pizza,fruit and vegetables
n07875152,potpie,fruit and vegetables
n07880968,burrito,fruit and vegetables
n07892512,red_wine,fruit and vegetables
n07920052,espresso,food containers
n07930864,cup,food containers
n07932039,eggnog,trees
n09193705,alp,large natural outdoor scenes
n09229709,bubble,large man-made outdoor things
n09246464,cliff,vehicles 2
n09256479,coral_reef,flowers
n09288635,geyser,aquatic mammals
n09332890,lakeside,non-insect invertebrates
n09399592,promontory,trees
n09421951,sandbar,fish
n09428293,seashore,vehicles 2
n09468604,valley,vehicles 1
n09472597,volcano,large natural outdoor scenes
n09835506,ballplayer,household furniture
n10148035,groom,flowers
n10565667,scuba_diver,vehicles 1
n11879895,rapeseed,flowers
n11939491,daisy,flowers
n12057211,yellow_lady's_slipper,flowers
n12144580,corn,flowers
n12267677,acorn,fruit and vegetables
n12620546,hip,people
n12768682,buckeye,vehicles 2
n12985857,coral_fungus,flowers
n12998815,agaric,small mammals
n13037406,gyromitra,aquatic mammals
n13040303,stinkhorn,small mammals
n13044778,earthstar,aquatic mammals
n13052670,hen-of-the-woods,aquatic mammals
n13054560,bolete,flowers
n13133613,ear,aquatic mammals
n15075141,toilet_tissue,aquatic mammals
